"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","20p","Capacitor_SMD:C_1210_3225Metric","~","1","","",""
"C2","3u3","Capacitor_SMD:C_1210_3225Metric","~","1","","",""
"C3","100n","Capacitor_SMD:C_1210_3225Metric","~","1","","",""
"D1,D2,D3","BPW34-SMD","OptoDevice:Osram_BPW34S-SMD","https://dammedia.osram.info/media/resource/hires/osram-dam-5488319/BPW%2034%20S_EN.pdf","3","","",""
"J1","Conn_01x12_Socket","","~","1","","",""
"J2","Conn_01x16_Socket","","~","1","","",""
"J3,J4","Conn_01x02_Pin","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~","2","","",""
"R1","47k","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R2","20M","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R3,R4","10k","Resistor_SMD:R_1206_3216Metric","~","2","","",""
"R5","0","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"RV1","2k","Potentiometer_SMD:Potentiometer_Bourns_3224X_Vertical","~","1","","",""
"SW1","SW_DIP_x04","Button_Switch_SMD:SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile","~","1","","",""
"U1","LMC6484","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lmc6484.pdf","1","","",""
